OBJECTID,SAP_NAME,SAP_PLANT_NO,SAP_PLANT_NAME,SAP_KM_NAME,SAP_CANAL_ID,SAP_FUNC_LOC,FL_DESC,Shape__Length,GlobalID
1589,Kennet & Avon Canal - 061,9800,Kennet and Avon,KA Length 061,KA,KA-061,KA Kennet & Avon Canal - 061,0.014179313,e446bcad-deab-435d-98d6-2848e2acb145
1590,Kennet & Avon Canal - 062,9800,Kennet and Avon,KA Length 062,KA,KA-062,KA Kennet & Avon Canal - 062,0.012516189,3e5b6610-460d-4dab-989d-feeb837935be
1591,Kennet & Avon Canal - 063,9800,Kennet and Avon,KA Length 063,KA,KA-063,KA Kennet & Avon Canal - 063,0.01352397,2a7e65a4-ad96-4fee-9afa-cd6670fc5bb4
1592,Kennet & Avon Canal - 064,9800,Kennet and Avon,KA Length 064,KA,KA-064,KA Kennet & Avon Canal - 064,0.013249915,19f6e693-6db2-4ae6-a6d1-d4ff68926ed6
1593,Kennet & Avon Canal - 066,9800,Kennet and Avon,KA Length 066,KA,KA-066,KA Kennet & Avon Canal - 066,0.011923303,d435de68-6ef8-47ef-8e95-08e25eafa750
1594,Kennet & Avon Canal - 067,9800,Kennet and Avon,KA Length 067,KA,KA-067,KA Kennet & Avon Canal - 067,0.014049018,cf7a6ec6-4ee5-4498-9d3b-9f569585d2c4
1595,Kennet & Avon Canal - 068,9800,Kennet and Avon,KA Length 068,KA,KA-068,KA Kennet & Avon Canal - 068,0.012995409,7accedad-bb1f-43d3-960b-9c69f29d156d
1596,Kennet & Avon Canal - 069,9800,Kennet and Avon,KA Length 069,KA,KA-069,KA Kennet & Avon Canal - 069,0.013764421,b4bc84b4-c969-48ce-ba16-311d8417c624
1597,Kennet & Avon Canal - 070,9800,Kennet and Avon,KA Length 070,KA,KA-070,KA Kennet & Avon Canal - 070,0.012865488,a83e5a15-4057-4736-81ae-5d2f478dc00b
1598,Kennet & Avon Canal - 065,9800,Kennet and Avon,KA Length 065,KA,KA-065,KA Kennet & Avon Canal - 065,0.014326737,c7925f8d-8e27-4743-8e23-dc50e46c7361
1599,Kennet & Avon Canal - 060,9800,Kennet and Avon,KA Length 060,KA,KA-060,KA Kennet & Avon Canal - 060,0.014354689,682c9421-6829-4be0-b6f3-45d06bfc3429
1600,Kennet & Avon Canal - 051,9800,Kennet and Avon,KA Length 051,KA,KA-051,KA Kennet & Avon Canal - 051,0.010714076,c26c3a7e-36f8-47bc-ace4-2a49244aa05b
1601,Kennet & Avon Canal - 053,9800,Kennet and Avon,KA Length 053,KA,KA-053,KA Kennet & Avon Canal - 053,0.0110061,38b238cb-83fa-4a78-a219-5394c134eaab
1602,Kennet & Avon Canal - 056,9800,Kennet and Avon,KA Length 056,KA,KA-056,KA Kennet & Avon Canal - 056,0.014142816,b7616687-b68d-400d-b3a6-91ceb1a63d62
1603,Kennet & Avon Canal - 032,9800,Kennet and Avon,KA Length 032,KA,KA-032,KA Kennet & Avon Canal - 032,0.014144141,a8af27e8-0769-44d1-bbc7-d07238f0ae7c
