Section,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,
"Lock 89, Widmead Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lock 88, Bulls Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
"Lock 87, Ham Lock",0,0,0,0,1,1,1,0,2,1,0,0,1,0,1,1,0,0,1,0,2,1,0,1,0,1,0,0,0,0,2,1,
"Lock 86, Greenham Lock",0,0,0,0,0,1,1,2,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,2,
30,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,3,0,1,1,0,3,0,0,2,1,1,2,
"Lock 85, Newbury Lock",0,1,0,1,1,0,1,1,2,1,1,2,2,1,1,1,1,3,1,3,0,1,0,2,4,0,1,1,1,2,3,4,
31,0,0,1,0,1,1,0,1,1,2,1,1,2,2,1,0,1,2,5,1,0,1,1,1,2,2,1,2,1,2,3,2,
32,0,0,0,1,0,1,1,0,1,1,2,1,1,2,1,1,0,3,2,2,2,0,1,1,0,3,4,0,3,2,1,1,
"Lock 84, Guyers Lock",0,0,0,0,1,0,1,1,0,1,1,2,1,0,2,1,3,0,0,3,2,1,1,0,2,2,2,3,2,2,1,0,
33,0,0,0,0,0,1,0,1,1,0,1,1,2,1,0,4,1,0,1,0,3,1,1,2,2,1,1,4,2,1,2,0,
