0,Latitude,Longitude,Section
0,51.59388889,-1.844166667,C-9
359,51.59444444,-1.844444444,C-Lock4
0,51.60444444,-1.847222222,C-10
355,51.60611111,-1.848055556,C-Lock5
0,51.61166667,-1.850555556,C-11
345,51.61694444,-1.8525,C-Lock6
0,51.61888889,-1.853333333,C-12
409,51.62777778,-1.860277778,C-Lock7
0,51.63027778,-1.860833333,C-13
0,51.63666667,-1.855277778,C-14
183,51.63861111,-1.848888889,C-Lock8
0,51.6425,-1.846944444,C-15
