Town,Latitude,Longitude,Population,Section
Trowbridge,51.338159,-2.204046,39409,2
Melksham,51.375075,-2.141304,19357,5
Chippenham,51.459863,-2.11504,35800,14
Calne,51.438922,-2.000198,17274,20
Wootton Basset,51.542612,-1.901028,11265,35
Swindon,51.550071,-1.805191,182441,42
Cricklade,51.641619,-1.855659,4030,40
Wantage,51.608823,-1.423759,18505,75
Didcot,51.607304,-1.244545,26920,88
Wallingford,51.597841,-1.126957,7918,88
Uffington,51.602255,-1.558971,513,65
