Lockage
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
261
269
16
8
18
49
318
25
328
21
197
0
64
0
0
37
0
0
0
0
0
0
0
0
0
237
21
21
361
30
348
16
362
24
319
0
191
0
109
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
292
6
462
43
457
442
58
423
407
346
0
285
229
206
0
25
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
3
7
13
16
46
46
0
10
0
0
23
0
20
34
328
294
328
315
13
230
242
213
218
181
106
54
29
61
29
0
0
0
0
0
0
0
0
0
0
0
0
0
134
178
172
207
0
26
31
157
194
0
128
114
116
0
0
0
0
0
0
0
0
0
4
19
63
100
135
656
160
211
211
156
184
168
183
86
67
50
44
46
22
64
20
440
518
509
527
482
502
62
84
44
78
315
24
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
