109,51.42853307,-2.510166968,"Lock 1, Hanham Lock"
0,51.426327,-2.508356,139
0,51.428014,-2.500576,138
0,51.42658998,-2.488109743,137
309,51.41972831,-2.492017435,"Lock 2, Keynsham Lock"
0,51.41880123,-2.490681229,136
0,51.42118406,-2.483818845,135
0,51.41896836,-2.47181304,134
0,51.41675266,-2.459807235,133
340,51.41817243,-2.444681488,"Lock 3, Swineford Lock"
0,51.41393378,-2.443881923,132
335,51.40969513,-2.443082358,"Lock 4, Saltford Lock"
0,51.40696485,-2.446348711,131
0,51.40423458,-2.449615064,130
234,51.40057768,-2.448786199,"Lock 5, Kelston Lock"
0,51.397106,-2.446186,129
0,51.392143,-2.435596,128
0,51.3915433,-2.426958697,127
0,51.3901216,-2.408042056,126
290,51.38256926,-2.396954873,"Lock 6, Weston Lock"
0,51.38777766,-2.405612764,125
0,51.38232128,-2.388391251,124
0,51.38414888,-2.37775073,123
0,51.37923558,-2.364804705,122
315,51.38045155,-2.349022028,"Lock 13, Bath Top Lock"
300,51.37978065,-2.348936601,"Lock 12, Pulteney Gardens Lock"
298,51.37891849,-2.349178796,"Lock 11, Horse Shoe Bridge Lock"
280,51.37719941,-2.35133548,"Lock 10, Wash House Lock"
290,51.37693878,-2.35236428,"Lock 8/9, Bath Deep Lock"
269,51.37717024,-2.35462877,"Lock 7, Bath Bottom Lock"
0,51.37785815,-2.352946826,121
0,51.384891,-2.348442254,120
0,51.39164013,-2.34115347,119
0,51.39425467,-2.332699157,118
0,51.39523927,-2.317621199,117
0,51.38721245,-2.310511117,116
0,51.37918563,-2.303401035,115
0,51.37653439,-2.302211643,114
0,51.36377226,-2.310210333,113
0,51.36040291,-2.310360601,112
0,51.34990018,-2.311786338,111
0,51.34524909,-2.301678267,110
0,51.340598,-2.291570195,109
0,51.33910319,-2.282545232,108
0,51.34207337,-2.2661391,107
240,51.34118432,-2.251929852,"Lock 14, Bradford On Avon Lock"
0,51.34119675,-2.252000981,106
0,51.33677016,-2.245361431,105
0,51.33453431,-2.227593868,104
0,51.33458734,-2.214676232,103
0,51.33549246,-2.207238198,102
0,51.34235325,-2.196286512,101
0,51.34403116,-2.187387641,100
0,51.3456926,-2.170132231,99
0,51.34702116,-2.152734364,98
250,51.347469,-2.140110876,"Lock 16, Harris Lock"
237,51.34797785,-2.143829435,"Lock 15, Semington Lock"
0,51.3479623,-2.143667087,97
0,51.3468622,-2.127840613,96
0,51.34962264,-2.116607646,95
234,51.35180357,-2.105831666,"Lock 17, Seend Bottom Lock"
254,51.35156669,-2.100925675,"Lock 18, Seend Lock"
225,51.3514161,-2.097490569,Lock 19. Seend Lock
0,51.35165147,-2.102027329,94
220,51.35230687,-2.091580751,"Lock 21, Seend Lock"
260,51.35167387,-2.094584158,"Lock 20, Seend Lock"
0,51.35277806,-2.089277704,93
0,51.354886,-2.075939315,92
0,51.35563054,-2.061297092,91
226,51.35423972,-2.050433299,"Lock 22, Lower Foxhangers Lock"
254,51.35391827,-2.04639141,"Lock 23, Foxhangers Lock"
265,51.35336361,-2.043673203,"Lock 24, Devizes Lock"
