196,,,"Lock 99, Tyle Mill Lock"
0,,,13
0,,,12
0,,,"Lock 100, Sulhamstead Lock"
0,,,11
0,,,"Lock 101, Sheffield Lock"
0,,,10
192,,,"Lock 102, Garston Lock"
0,,,9
0,,,8
48,,,"Lock 103, Burghfield Lock"
0,,,7
0,,,6
97,,,"Lock 104, Southcote Lock"
0,,,5
0,,,"Lock 105, Fobney Lock"
0,,,4
0,,,3
0,,,2
0,,,"Lock 106, County Lock"
196,,,"Lock 107, Blakes Lock"
0,,,1
0,,,0
