Section,Bridges,Aqueducts,Pumps,Turning Points,Tunnels,Boat Hires,Hire names,Marina,Marina names,Attractions,Supermarket
"Lock 67, Little Bedwyn Lock",0,0,0,0,0,0,,,,,
51,0,0,0,0,0,0,,,,,
"Lock 66, Potters Lock",0,0,0,0,0,0,,,,,
52,1,0,0,0,0,5,Bruce Branch of The Kennet & Avon Canal Trust,,,,
"Lock 65, Burnt Mill Lock",0,0,0,0,0,0,,,,,
53,2,0,0,0,0,0,,,,,
"Lock 64, Church Lock",0,0,0,0,0,0,,,,,
54,2,0,0,1,0,0,,,,,
"Lock 62, Longmans Cottage",0,0,0,0,0,0,,,,,
"Lock 63, Beech Grove Lock",0,0,0,0,0,0,,,,,
55,1,0,2,0,0,0,,,,,
"Lock 61, Crossing Lock",0,0,0,0,0,0,,,,,
"Lock 59, Crofton Lock",0,0,0,0,0,0,,,,,
"Lock 60, Crofton Lock",0,0,0,0,0,0,,,,,
56,1,0,0,0,0,0,,,,,
"Lock 58, Crofton Lock",0,0,0,0,0,0,,,,,
"Lock 57, Crofton Lock",0,0,0,0,0,0,,,,,
"Lock 56, Crofton Lock",0,0,0,0,0,0,,,,,
57,2,0,0,1,0,0,,,,,
"Lock 55, Crofton Top Lock",0,0,0,0,0,0,,,,,
58,0,0,0,0,1,0,,,,,
59,1,0,0,0,0,0,,,,,
60,0,0,0,0,0,0,,,,,
61,2,0,0,0,0,0,,,,,
"Lock 53, Brimslade Lock 53",0,0,0,0,0,0,,,,,
"Lock 54, Cadley Lock",0,0,0,0,0,0,,,,,
62,3,0,1,1,0,0,,,,,
"Lock 51, Wootton Rivers",0,0,0,0,0,0,,,,,
"Lock 52, Heathy Close Lock",0,0,0,0,0,0,,,,,
63,1,0,0,0,0,0,,,,,
64,1,0,0,0,0,0,,,,,
65,1,0,0,1,0,0,,,,,
66,1,0,0,0,0,0,,,,,
67,1,0,0,0,0,0,,,,,
68,2,0,0,0,0,0,,,,,
69,3,0,0,0,0,0,,,,,
70,1,0,0,0,0,0,,17,Chasing Duck Moorings,,
71,1,0,0,0,0,0,,,,,
72,2,0,0,0,0,0,,,,,
73,2,0,0,1,0,10,"Moonraker Canalboats, Honeystreet Boats",16,Gibson's Boat Services,,
74,1,0,0,0,0,0,,,,,
