Section,Bridges,Aqueducts,Pumps,Turning Points,Tunnels,Latitude,Longitude
"Lock 12, Pulteney Gardens Lock",0,0,0,0,0,,
"Lock 13, Bath Top Lock",0,0,0,0,0,,
122,4,0,0,0,0,51.37923558,-2.364804705
123,4,0,0,0,0,51.38414888,-2.37775073
124,3,0,0,0,0,51.38232128,-2.388391251
125,1,0,0,0,0,51.38777766,-2.405612764
"Lock 6, Weston Lock",0,0,0,0,0,,
126,2,0,0,0,0,51.3901216,-2.408042056
127,1,0,0,0,0,51.3915433,-2.426958697
128,0,0,0,0,0,,
129,0,0,0,0,0,,
"Lock 5, Kelston Lock",0,0,0,0,0,,
130,1,0,0,0,0,51.40423458,-2.449615064
131,0,0,0,0,0,,
"Lock 4, Saltford Lock",0,0,0,0,0,,
132,0,0,0,0,0,,
"Lock 3, Swineford Lock",0,0,0,0,0,,
133,2,0,0,0,0,51.41675266,-2.459807235
134,0,0,0,0,0,,
135,1,0,0,0,0,51.42118406,-2.483818845
136,3,0,0,0,0,51.41880123,-2.490681229
"Lock 2, Keynsham Lock",0,0,0,0,0,,
137,1,0,0,0,0,51.42658998,-2.488109743
138,0,0,0,0,0,,
139,0,0,0,0,0,,
"Lock 1, Hanham Lock",0,0,0,0,0,,
