Section,Latitude degree,,,Longitude degree,,,Latitude,Longitude,next turning back,Turning Points,next turning forward,Lock Status,Lockage,Boat Hires,Marina,Hire names,Marina names
Lock31,51,32,26,1,47,36,51.54055556,-1.793333333,1,1,1,1,0,,,,
Lock32,51,32,14,1,46,52,51.53722222,-1.781111111,1,1,1,1,0,,,,
Lock33,51,32,12,1,46,46,51.53666667,-1.779444444,1,1,1,1,0,,,,
44,51,32,8,1,46,35,51.53555556,-1.776388889,1,1,1,0,0,,,,
45,51,31,58,1,46,4,51.53277778,-1.767777778,1,1,1,0,0,,,,
46,51,32,2,1,45,20,51.53388889,-1.755555556,1,1,1,0,0,,,,
47,51,31,53,1,44,24,51.53138889,-1.74,1,1,1,0,0,,,,
Lock34,51,31,43,1,43,59,51.52861111,-1.733055556,1,1,1,1,0,,,,
48,51,31,48,1,43,48,51.53,-1.73,1,1,1,0,0,,,,
Lock35,51,31,54,1,43,34,51.53166667,-1.726111111,1,1,1,1,0,,,,
Lock36,51,31,57,1,43,22,51.5325,-1.722777778,1,1,1,1,0,,,,
Lock37,51,32,7,1,43,9,51.53527778,-1.719166667,1,1,1,1,0,,,,
49,51,32,7,1,43,8,51.53527778,-1.718888889,1,1,1,0,0,,,,
Lock38,51,32,18,1,43,7,51.53833333,-1.718611111,1,1,1,1,0,,,,
50,51,32,35,1,42,57,51.54305556,-1.715833333,1,1,1,0,0,,,,
Lock39,51,32,45,1,43,1,51.54583333,-1.716944444,1,1,1,1,0,,,,
Lock40,51,32,56,1,43,4,51.54888889,-1.717777778,1,1,1,1,0,,,,
51,51,33,4,1,42,56,51.55111111,-1.715555556,1,1,1,0,0,,,,
Lock41,51,33,17,1,42,49,51.55472222,-1.713611111,1,1,1,1,0,,,,
Lock42,51,33,44,1,42,48,51.56222222,-1.713333333,1,1,1,1,0,,,,
52,51,33,34,1,42,51,51.55944444,-1.714166667,1,1,1,0,0,,,,
53,51,34,5,1,42,28,51.56805556,-1.707777778,1,1,1,0,0,,,,
54,51,34,26,1,41,57,51.57388889,-1.699166667,1,1,1,0,0,,,,
Lock43,51,34,41,1,41,50,51.57805556,-1.697222222,1,1,1,1,0,,,,
55,51,34,46,1,41,37,51.57944444,-1.693611111,1,1,1,0,0,,,,
56,51,35,11,1,41,2,51.58638889,-1.683888889,1,1,1,0,0,,,,
57,51,35,28,1,40,16,51.59111111,-1.671111111,1,1,1,0,0,,,,
